Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	signal peptide	46	31.724137931034484	1.6436739728931239E-6	33963_AT, 38646_S_AT, 33530_AT, 33684_AT, 31621_S_AT, 33284_AT, 37408_AT, 37968_AT, 35915_AT, 1355_G_AT, 1855_AT, 37061_AT, 679_AT, 35956_S_AT, 34618_AT, 31506_S_AT, 33979_AT, 32469_AT, 40350_AT, 38604_AT, 38236_AT, 37454_AT, 31793_AT, 1403_S_AT, 1112_G_AT, 1331_S_AT, 32250_AT, 35169_AT, 1901_S_AT, 34623_AT, 37172_AT, 36766_AT, 1645_AT, 34546_AT, 1786_AT, 31512_AT, 37096_AT, 36703_AT, 36328_AT, 1890_AT, 37898_R_AT, 38508_S_AT, 40294_AT, 2090_I_AT, 1372_AT, 37105_AT, 36436_AT, 35566_F_AT	136	3346	20063	2.028097640729932	0.0010070655422567132	0.0010070655422567132	0.0024346752527493187	
UP_SEQ_FEATURE	disulfide bond	42	28.965517241379313	1.9177798934405362E-6	33963_AT, 38646_S_AT, 33530_AT, 31621_S_AT, 33284_AT, 37408_AT, 37968_AT, 34467_G_AT, 35915_AT, 35367_AT, 1355_G_AT, 37061_AT, 679_AT, 35090_G_AT, 37983_AT, 35956_S_AT, 35091_AT, 37953_S_AT, 31506_S_AT, 33979_AT, 32439_AT, 40350_AT, 37454_AT, 31793_AT, 1403_S_AT, 1112_G_AT, 1331_S_AT, 32250_AT, 1901_S_AT, 37172_AT, 36766_AT, 34623_AT, 1786_AT, 34546_AT, 31512_AT, 37096_AT, 36703_AT, 36328_AT, 1890_AT, 37898_R_AT, 40317_AT, 38508_S_AT, 1372_AT, 37105_AT, 35566_F_AT	136	2917	20063	2.124074895642179	0.0011749094547436334	5.876273803409049E-4	0.0028406864650443175	
INTERPRO	IPR002366:Defensin propeptide	3	2.0689655172413794	7.814979706697805E-4	31793_AT, 31506_S_AT, 34623_AT, 34546_AT	137	6	18593	67.85766423357666	0.2599180437806826	0.2599180437806826	1.0785389844654159	
INTERPRO	IPR006081:Mammalian defensins	3	2.0689655172413794	7.814979706697805E-4	31793_AT, 31506_S_AT, 34623_AT, 34546_AT	137	6	18593	67.85766423357666	0.2599180437806826	0.2599180437806826	1.0785389844654159	
INTERPRO	IPR016327:Alpha-defensin	3	2.0689655172413794	7.814979706697805E-4	31793_AT, 31506_S_AT, 34623_AT, 34546_AT	137	6	18593	67.85766423357666	0.2599180437806826	0.2599180437806826	1.0785389844654159	
INTERPRO	IPR006080:Beta defensin/Neutrophil defensin	3	2.0689655172413794	0.001444845746562566	31793_AT, 31506_S_AT, 34623_AT, 34546_AT	137	8	18593	50.893248175182485	0.42688441233166263	0.2429560199906895	1.9855399052664646	
PIR_SUPERFAMILY	PIRSF001875:alpha-defensin	3	2.0689655172413794	0.0017352512591199552	31793_AT, 31506_S_AT, 34623_AT, 34546_AT	20	6	1697	42.425	0.030778060831650467	0.030778060831650467	1.2720450312963982	
SMART	SM00048:DEFSN	3	2.0689655172413794	0.002182555590396016	31793_AT, 31506_S_AT, 34623_AT, 34546_AT	92	8	10071	41.05027173913044	0.21364229288750392	0.21364229288750392	2.438379884950026	
UP_SEQ_FEATURE	glycosylation site:N-linked (GlcNAc...)	44	30.344827586206897	0.0022575001822588243	33963_AT, 33530_AT, 33684_AT, 33284_AT, 37408_AT, 37968_AT, 34467_G_AT, 35915_AT, 1355_G_AT, 1855_AT, 679_AT, 33293_AT, 35090_G_AT, 37983_AT, 35956_S_AT, 35121_AT, 34618_AT, 35091_AT, 37953_S_AT, 1575_AT, 33979_AT, 32469_AT, 32439_AT, 40350_AT, 38236_AT, 32084_AT, 1112_G_AT, 1331_S_AT, 32250_AT, 36378_AT, 35169_AT, 1901_S_AT, 36766_AT, 37172_AT, 1786_AT, 37096_AT, 36328_AT, 1890_AT, 40317_AT, 37097_AT, 38508_S_AT, 2090_I_AT, 1372_AT, 37105_AT, 34436_AT, 35566_F_AT	136	4234	20063	1.5330587123843398	0.7497793085347204	0.3698541603566081	3.2923012224476467	
UP_SEQ_FEATURE	metal ion-binding site:Iron (heme distal ligand)	3	2.0689655172413794	0.0033393093413547287	33516_AT, 31687_F_AT, 31525_S_AT	136	13	20063	34.043552036199095	0.8713194151353794	0.4010669806346864	4.833910567164034	
UP_SEQ_FEATURE	sequence variant	100	68.96551724137932	0.003642905670331281	31621_S_AT, 38103_AT, 37968_AT, 39469_S_AT, 36713_AT, 35956_S_AT, 40058_S_AT, 1974_S_AT, 1112_G_AT, 1901_S_AT, 37172_AT, 36766_AT, 34546_AT, 1890_AT, 36436_AT, 966_AT, 33963_AT, 37814_G_AT, 37408_AT, 36317_AT, 37983_AT, 34249_AT, 35121_AT, 32469_AT, 38604_AT, 32680_AT, 38229_AT, 32084_AT, 1331_S_AT, 36378_AT, 33027_AT, 38482_AT, 31687_F_AT, 40317_AT, 1419_G_AT, 38508_S_AT, 32279_AT, 37954_AT, 40959_AT, 35648_AT, 33284_AT, 35915_AT, 1355_G_AT, 1855_AT, 32073_AT, 33685_AT, 1575_AT, 41280_R_AT, 33922_AT, 33979_AT, 38236_AT, 34636_AT, 37454_AT, 1403_S_AT, 33516_AT, 32250_AT, 35069_AT, 1645_AT, 1786_AT, 34972_S_AT, 31512_AT, 37096_AT, 40271_AT, 38816_AT, 37097_AT, 38201_AT, 919_AT, 40294_AT, 1372_AT, 1983_AT, 37105_AT, 35213_AT, 34436_AT, 35566_F_AT, 35038_AT, 34233_I_AT, 33530_AT, 32148_AT, 31525_S_AT, 34467_G_AT, 35367_AT, 38128_AT, 35373_AT, 37061_AT, 1910_S_AT, 679_AT, 40735_AT, 34618_AT, 1391_S_AT, 39094_AT, 33080_S_AT, 38691_S_AT, 967_G_AT, 35169_AT, 35439_AT, 34623_AT, 36479_AT, 36703_AT, 36328_AT, 39198_S_AT, 39187_AT, 37166_AT	136	12443	20063	1.185582727827127	0.8932407062493835	0.360734689231064	5.2624080596670115	
INTERPRO	IPR009050:Globin-like	3	2.0689655172413794	0.003929578963906343	33516_AT, 31687_F_AT, 31525_S_AT	137	13	18593	31.318921953958455	0.7803825736417095	0.39666905733461755	5.314795949786333	
INTERPRO	IPR000971:Globin	3	2.0689655172413794	0.003929578963906343	33516_AT, 31687_F_AT, 31525_S_AT	137	13	18593	31.318921953958455	0.7803825736417095	0.39666905733461755	5.314795949786333	
INTERPRO	IPR012292:Globin, structural domain	3	2.0689655172413794	0.004562616681868341	33516_AT, 31687_F_AT, 31525_S_AT	137	14	18593	29.08185610010428	0.8280629774054344	0.3560645264384602	6.146056485623774	
UP_SEQ_FEATURE	metal ion-binding site:Iron (heme proximal ligand)	3	2.0689655172413794	0.005070002005838441	33516_AT, 31687_F_AT, 31525_S_AT	136	16	20063	27.660386029411768	0.9556577139514494	0.4050647798999869	7.252622724074698	
KEGG_PATHWAY	hsa05200:Pathways in cancer	10	6.896551724137931	0.011777522948932261	1974_S_AT, 33684_AT, 37983_AT, 1419_G_AT, 919_AT, 2090_I_AT, 35373_AT, 1855_AT, 1901_S_AT, 1910_S_AT	67	393	6910	2.6242831643310165	0.8757111788819131	0.8757111788819131	13.530867384010815	
UP_SEQ_FEATURE	domain:Ig-like C2-type 1	6	4.137931034482759	0.01190390290326836	35038_AT, 33530_AT, 35956_S_AT, 1112_G_AT, 1355_G_AT, 1786_AT	136	202	20063	4.381843331391963	0.99935151533396	0.6496056444140734	16.254290027256324	
