1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
YAL025C,6,6,6,6,6,6,6,4,4,4,1,6,4,4,6,6,4,6,6,6,4,6,6,6
YAL036C,6,6,6,6,6,6,6,4,4,4,1,6,4,4,6,6,4,6,6,6,4,6,6,6
YAL040C,6,5,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,5,5,5,6,5,5,5
YDL037c,6,6,6,6,6,6,6,1,4,4,1,1,4,1,6,1,4,6,6,6,1,6,6,6
YDR184C,6,6,6,6,6,6,6,4,4,4,1,6,4,4,6,6,4,6,6,6,4,6,6,6
YDR299W,6,6,6,6,6,6,6,4,4,4,1,1,4,1,6,1,4,6,6,6,1,6,6,6
YDR380W,3,4,3,4,3,3,3,4,4,4,3,3,4,4,6,3,4,4,4,4,4,4,6,4
YDR398W,6,6,6,6,6,6,6,4,4,4,1,1,4,4,6,1,4,6,6,6,4,6,6,6
YER006w,6,6,6,6,6,6,6,6,4,6,6,1,6,4,6,1,6,6,6,6,4,6,6,6
YER064c,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,5,5,6,5,5,5
YER126c,6,6,6,6,6,6,6,4,4,4,1,1,4,4,6,1,4,6,6,6,4,6,6,6
YGL171W,3,4,3,3,3,3,3,4,3,4,3,3,4,4,6,3,4,6,4,4,4,4,6,6
YIL122W,6,6,6,6,6,6,6,1,4,4,1,1,4,1,6,1,4,6,6,6,1,6,6,6
YIL133C,6,6,6,6,6,6,6,4,4,4,6,6,4,6,5,6,4,5,6,5,6,5,5,5
YKL009W,6,6,6,6,6,6,6,4,4,4,1,1,4,4,6,1,4,6,6,6,4,6,6,6
YKL143W,6,6,6,6,6,6,6,4,4,4,1,6,4,4,6,1,4,6,6,6,4,6,6,6
YLR175W,6,6,6,6,6,6,6,4,4,4,1,6,4,4,6,1,4,6,6,6,4,6,6,6
YLR196W,6,6,6,6,6,6,6,4,4,4,1,1,4,4,6,1,4,6,6,6,4,6,6,6
YLR222C,6,6,6,6,6,6,6,4,4,4,1,6,4,4,6,6,4,6,6,6,4,6,6,6
YLR062C,6,5,6,6,6,6,6,4,6,4,6,6,4,4,5,6,4,5,5,5,4,5,5,5
YLR129w,6,6,6,6,6,6,6,4,4,4,1,6,4,4,6,1,4,6,6,6,4,6,6,6
YLL011w,6,6,6,6,6,6,6,4,4,4,1,6,4,4,6,1,4,6,6,6,4,6,6,6
YMR093W,6,6,6,6,6,6,6,4,4,4,1,1,4,4,6,1,4,6,6,6,4,6,6,6
YMR131C,6,6,6,6,6,6,6,4,4,4,1,1,4,4,6,1,4,6,6,6,4,6,6,6
YMR217W,6,6,6,6,6,6,6,1,4,4,1,1,4,1,6,1,4,6,6,6,1,6,6,6
YNL060C,6,6,6,6,6,6,6,4,4,4,1,1,4,4,6,1,4,6,6,6,4,6,6,6
YNL061W,6,6,6,6,6,6,6,4,4,4,1,6,4,4,6,1,4,6,6,6,4,6,6,6
YNL062C,6,6,6,6,6,6,6,4,4,4,1,1,4,4,6,1,4,6,6,6,4,6,6,6
YNL174W,6,6,6,6,6,6,6,4,4,4,1,1,4,4,6,1,4,6,6,6,4,6,6,6
YNL175C,6,6,6,6,6,6,6,4,4,4,1,1,4,4,6,1,4,6,6,6,4,6,6,6
YNR038W,6,6,6,6,6,6,6,4,4,4,1,1,4,4,6,1,4,6,6,6,4,6,6,6
YNR053C,6,6,6,6,6,6,6,4,4,4,1,1,4,4,6,1,4,6,6,6,4,6,6,6
YOR051C,4,6,6,6,6,6,6,1,4,4,1,1,4,1,6,1,4,6,6,6,1,6,6,6
YOL077C,6,6,6,6,6,6,6,4,4,4,1,1,4,4,6,1,4,6,6,6,1,6,6,6
YOR206W,6,6,6,6,6,6,6,4,4,4,1,6,4,4,6,1,4,6,6,6,4,6,6,6
YOR306C,6,6,6,6,6,6,6,4,4,4,1,1,4,4,6,1,4,6,6,6,4,6,6,6
YOR309C,6,6,6,6,6,6,6,4,4,4,1,1,4,4,6,1,4,6,6,6,4,6,6,6
YOR310C,6,6,6,6,6,6,6,4,4,4,1,1,4,4,6,1,4,6,6,6,4,6,6,6
YOR312C,6,6,6,6,6,6,6,4,4,4,6,6,4,4,6,6,4,6,6,6,4,6,6,6
YPL012W,6,6,6,6,6,6,6,4,4,4,1,6,4,4,6,1,4,6,6,6,4,6,6,6
YBR072W,1,5,1,1,1,1,1,6,1,1,6,5,1,2,5,6,1,5,5,5,2,5,5,5
YBR196C,6,2,6,6,2,4,2,6,2,6,6,6,6,2,1,6,6,2,2,2,2,2,2,2
YCR012w,4,2,6,6,2,6,2,6,2,6,6,6,6,2,1,6,6,2,2,2,2,2,2,2
YCR013C,4,2,6,6,2,6,2,6,2,6,6,6,6,2,1,6,6,2,2,2,2,2,2,2
YDL234C,2,2,2,1,2,2,2,5,2,1,5,5,1,2,1,5,1,2,2,2,2,2,2,2
YDR050C,2,2,2,6,2,2,2,6,2,6,6,5,6,2,1,5,6,2,2,2,2,2,2,2
YDR258C,2,2,2,5,2,2,2,5,2,5,5,5,5,2,1,5,5,2,2,2,2,2,2,2
YER049w,2,2,2,6,2,2,2,6,2,6,6,5,6,2,1,5,6,2,2,2,2,2,2,2
YER067w,2,2,2,1,2,2,2,6,2,1,6,5,1,2,1,5,1,2,2,2,2,2,2,2
YER130c,1,2,4,1,4,4,4,6,1,1,6,5,1,2,1,5,1,2,2,2,2,2,2,2
YER150w,1,2,1,1,1,1,1,5,1,1,5,5,1,2,1,5,1,2,2,2,2,2,2,2
YFR053C,4,6,6,6,2,6,2,1,4,6,1,1,6,1,1,1,6,2,6,2,1,6,2,2
YFR055W,2,2,2,5,2,2,2,5,2,5,5,5,5,2,1,5,5,2,2,2,2,2,2,2
YFR056C,2,2,2,6,2,2,2,6,2,6,6,6,6,2,1,6,6,2,2,2,2,2,2,2
