1,2,3,4,5,6,7,8,9,10,11,12,13,14
YMR198W,6,4,4,6,2,4,5,5,5,5,3,5,3,5
YBL052C,6,1,3,6,2,4,4,5,5,4,3,5,4,5
YIL126W,6,2,3,6,2,2,5,2,2,5,3,2,3,6
YJR137C,6,1,3,6,2,6,5,6,4,5,3,6,3,4
YCR035C,3,1,3,3,5,6,6,5,1,4,3,1,6,1
YDR219C,6,4,4,6,2,4,4,4,4,4,3,4,4,4
YNL176C,6,4,4,6,2,4,4,4,4,4,3,4,4,4
YLR455W,6,4,4,6,2,4,4,4,4,4,3,4,4,4
YCRX04W,6,4,4,6,2,4,5,4,4,5,3,4,3,4
YIL050W,6,1,3,6,2,6,5,6,4,5,3,6,3,4
YIL106W,3,1,3,3,2,1,5,5,5,5,3,5,3,5
YBL097W,6,1,3,6,2,4,5,4,4,5,3,4,3,4
YCL014W,6,4,4,6,5,4,4,4,4,4,3,4,4,4
YJL099W,6,4,3,6,2,4,4,5,5,4,3,5,4,5
YKL048C,6,4,6,6,2,6,6,6,4,5,3,6,6,4
YGL255W,6,4,4,6,2,1,5,1,6,5,3,3,3,3
YJL137C,6,4,4,6,2,4,4,4,4,4,3,4,4,4
YBR104W,5,6,1,5,4,1,5,1,6,5,1,3,3,3
YCR073C,3,2,3,3,2,2,5,2,2,5,3,2,3,2
YDL198C,6,5,3,6,2,1,5,1,3,5,3,3,3,3
YDR389W,6,4,4,6,2,1,5,1,3,5,3,3,3,3
YIL131C,6,4,3,6,2,4,5,4,4,5,3,4,3,4
YMR215W,6,4,4,6,2,4,5,4,4,5,3,4,3,4
YIL158W,6,1,3,6,2,1,5,5,5,5,3,5,3,5
YGL101W,6,4,4,6,2,4,5,4,4,5,3,4,3,4
YJR110W,3,4,4,3,2,4,4,4,4,4,3,4,4,4
YOL012C,6,4,3,6,2,4,5,4,4,5,3,4,3,4
YBL032W,6,1,4,6,2,4,5,4,4,5,3,4,3,4
YBR043C,6,1,4,6,2,4,5,4,6,5,3,4,3,4
YCL012W,6,1,3,6,5,4,5,5,5,5,3,5,3,5
YCL013W,3,2,2,3,5,2,4,2,2,4,2,2,2,2
YCL062W,6,4,4,6,2,4,4,4,4,4,3,4,4,4
