1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
YAL025C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YAL036C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YAL040C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YDL037c,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YDR184C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YDR299W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YDR380W,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2
YDR398W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YER006w,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YER064c,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YER126c,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YGL171W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YIL122W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YIL133C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YKL009W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YKL143W,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2
YLR175W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YLR196W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YLR222C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YLR062C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YLR129w,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YLL011w,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YMR093W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YMR131C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YMR217W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
