1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
MTERF2,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
SEPP1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
PIN1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
EPB41L2,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
LUC7L3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AA059077,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
LUM,2,3,2,1,2,1,4,1,1,2,2,2,2,2,2,1
OPN3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CPT1B,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PLPPR4,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
CLDN11,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
FAM69A,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
SASH1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
PLXNC1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
ROR1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
ARHGAP20,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
H16592,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
SESN3,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
CCNG1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
H14499,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
CDKN1C,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
GRIA1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
VAMP4,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
DTX3L,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
ABCA5,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
H61273,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
N63445,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
W69445,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
R60336,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
IGDCC4,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
H15535,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
FAXC,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
FMOD,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
PIH1D1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
WDFY3,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
R34653,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
CAT,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
THBS2,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
IFT20,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
FLJ10849,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
CDC42BPA,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
H05133,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
DOCK8,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
AA057433,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
N52170,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
R71462,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
R60996,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
ULK2,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
T85754,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
R59736,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
N50955,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MME,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
ADGRD1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
DPP4,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
H00856,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
N74313,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
TMEM106B,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
FBN2,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
LAMA2,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
ANXA3,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
AVPI1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
CRABP2,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
