1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
MTERF2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
SEPP1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
PIN1,3,2,3,3,3,3,3,2,2,2,2,3,5,2,2,3,5,5,3,3,3,3,3,5,5,5,5,3,5,5,5,5,3,3,5,3,3,5,5,5,3
EPB41L2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
LUC7L3,3,2,3,3,3,3,3,2,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
AA059077,3,2,3,3,3,3,3,2,2,2,2,3,3,2,2,3,5,5,3,3,3,3,3,3,3,5,5,3,5,5,5,5,3,3,5,3,3,5,5,5,3
LUM,4,2,4,1,1,2,3,2,2,2,2,2,2,2,2,4,5,2,2,2,3,2,4,2,2,5,5,3,5,5,5,5,3,3,5,3,3,5,5,5,5
OPN3,3,2,3,1,4,5,4,2,2,2,2,2,1,2,2,4,5,2,2,2,3,2,4,2,1,5,5,3,5,5,5,5,3,3,5,3,3,5,5,1,3
CPT1B,3,2,3,3,3,3,3,2,2,2,2,2,3,2,2,3,3,3,2,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3
PLPPR4,3,3,3,3,3,3,3,3,2,3,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
CLDN11,3,2,3,3,3,3,3,2,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
FAM69A,3,2,3,3,3,3,3,2,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
SASH1,3,2,3,3,3,3,3,2,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
PLXNC1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
